OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,SidewalkCount,meanSidewalkWidth,sdSidewalkWidth
1,9,5,Staten Island,000900,5000900,I,SI22,West New Brighton-New Brighton-St. George,SI,6815.171618522511380,3206.788841960321861,1611.436570962483302,1808.422580903794596,16551.289420813580364,601.884812955967050,24800.659656453390198,172.000000000000000,7.081395348837209,4.076118197756723
2,98,1,Manhattan,009800,1009800,I,MN19,Turtle Bay-East Midtown,MN,4085.586819222038230,5425.252509572872441,123.909546045005300,1136.142919806163718,709.945692657942459,1349.110777043244752,3470.052871720905387,131.000000000000000,13.157251908396949,4.312094449771055
3,100,1,Manhattan,010000,1010000,I,MN19,Turtle Bay-East Midtown,MN,4477.527907621515624,5624.021786209938000,178.477286925938955,351.765747022448068,397.941089940026245,2373.014299139034392,2373.014299139034392,133.000000000000000,12.118796992481204,4.080481076360525
4,102,1,Manhattan,010200,1010200,I,MN17,Midtown-Midtown South,MN,5056.699322136981209,6159.266062869975940,88.616640568531238,902.512089281068597,327.674701740359296,1864.325366100890506,1864.325366100890506,153.000000000000000,13.076470588235296,5.110422331732352
5,104,1,Manhattan,010400,1010400,I,MN17,Midtown-Midtown South,MN,4102.054042924797614,6807.857914709345096,410.953289894933619,1836.059814652461682,717.409924845800788,1787.833255181703862,1787.833255181703862,90.000000000000000,15.454444444444446,3.806445187939663
6,113,1,Manhattan,011300,1011300,I,MN17,Midtown-Midtown South,MN,5428.367924919108191,10244.732893747215712,394.660556053513403,1214.977565909277246,214.429511116501061,946.147470773145642,5011.453332070639590,101.000000000000000,13.465346534653465,4.294774397883183
7,114.02,1,Manhattan,011402,1011402,I,MN40,Upper East Side-Carnegie Hill,MN,2913.297788851393307,3765.057852628601722,130.001555406792619,782.266205244538469,283.146765763902408,1549.566514180261493,1549.566514180261493,78.000000000000000,9.647435897435896,2.806103012937001
8,130,1,Manhattan,013000,1013000,I,MN40,Upper East Side-Carnegie Hill,MN,1098.439109395291553,2380.756126550060799,1149.522074336813148,2037.591570771385250,1383.978181995312070,541.702785470341155,541.702785470341155,197.000000000000000,13.640101522842627,4.062379164902809
9,140,1,Manhattan,014000,1014000,I,MN40,Upper East Side-Carnegie Hill,MN,1075.055715488377700,764.008852419816549,608.843684490062515,226.248236799891288,954.654177857347236,1551.354290384620299,1551.354290384620299,158.000000000000000,11.895569620253161,3.190298688903833
10,148.01,1,Manhattan,014801,1014801,I,MN40,Upper East Side-Carnegie Hill,MN,2262.513003736259179,1645.413530253700173,214.852690578966275,1419.498890592357384,272.420462409477125,1563.824544952057977,1563.824544952057977,30.000000000000000,11.843333333333335,3.841846119926643
11,184,1,Manhattan,018400,1018400,E,MN34,East Harlem North,MN,1618.882653863519863,1618.882653863519863,797.291608571954498,94.319588703187947,1029.381686460048286,1096.667734061326883,1635.237800669388207,194.000000000000000,12.998969072164950,3.937082764349644
12,190,1,Manhattan,019000,1019000,I,MN11,Central Harlem South,MN,1842.919855522590296,1842.919855522590296,202.332120857181508,1073.920576009524211,557.495934679335051,825.145734580196404,1878.942252187059694,74.000000000000000,18.793243243243257,7.126726295673694
13,206,1,Manhattan,020600,1020600,E,MN03,Central Harlem North-Polo Grounds,MN,2050.434896154268699,1404.592240343651156,740.232127125431589,1031.079513651086927,1548.605275457465950,287.296980054631774,4312.527679192857249,153.000000000000000,13.864052287581710,5.361627973252510
14,249,1,Manhattan,024900,1024900,E,MN36,Washington Heights South,MN,1592.881821548153539,1529.073550245815568,636.039238346325874,1933.935640758198588,1037.688585576772766,81.336473469243344,9872.823874550940673,66.000000000000000,18.643939393939398,6.266568900194570
15,261,1,Manhattan,026100,1026100,E,MN36,Washington Heights South,MN,2684.180297068965046,1075.873924461467141,402.292915201748485,4307.720384693412598,1376.197599481025918,498.902727903893719,9966.396793063750010,136.000000000000000,14.630147058823539,4.753124817819226
16,263,1,Manhattan,026300,1026300,E,MN36,Washington Heights South,MN,2365.002926032828782,1173.791138239674865,461.866463471958923,4294.063864072333672,721.814811163635795,617.302604912059792,10813.108734506859037,180.000000000000000,15.583888888888879,4.166334400159697
17,267,1,Manhattan,026700,1026700,E,MN35,Washington Heights North,MN,4992.705612623506568,1506.536244786520456,1008.911183708678891,5145.819390287078022,1406.052385639290833,221.124178758326224,9135.173852002842978,37.000000000000000,14.870270270270272,4.788288076411309
18,269,1,Manhattan,026900,1026900,E,MN35,Washington Heights North,MN,4605.922146923352557,1703.035987187170576,439.519543926758558,5462.488508276032917,820.190762929612220,424.310084397632465,9761.560428260401750,186.000000000000000,15.708602150537635,4.650641476566745
19,277,1,Manhattan,027700,1027700,E,MN35,Washington Heights North,MN,6285.936039792458359,392.971900038214358,423.090842134259901,3472.974419792551089,565.432915385527167,492.204091273413042,9572.368857693814789,118.000000000000000,16.850847457627122,5.682342507249483
20,5.01,3,Brooklyn,000501,3000501,I,BK09,Brooklyn Heights-Cobble Hill,BK,2270.785771062407093,2805.309090215385368,211.794992119046611,5229.776496893531657,749.771648891741506,723.430704765081941,10927.195333263720386,58.000000000000000,8.086206896551728,4.091087800944797
21,20,3,Brooklyn,002000,3002000,I,BK32,Sunset Park West,BK,1520.226004423092945,5953.202888513323160,989.471281115114607,2097.750757806932143,1212.605459465977901,1052.259546789380693,11194.477686897233070,92.000000000000000,11.435869565217388,4.090503113195680
22,41,3,Brooklyn,004100,3004100,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK,2446.247250542021447,633.824834816301291,323.404984814652266,1309.904804618849994,659.019473546604786,899.113465545358054,6634.434661458109076,93.000000000000000,10.510752688172044,3.642009191235191
23,58,3,Brooklyn,005800,3005800,E,BK31,Bay Ridge,BK,10480.224245805153259,2777.168672580657130,385.633587491292701,11167.436245380567925,969.862184668391478,1654.337452621499324,20445.927510592300678,122.000000000000000,12.040163934426229,4.587688516379096
24,60,3,Brooklyn,006000,3006000,I,BK31,Bay Ridge,BK,9391.319752274508573,3317.776067064023209,394.903390210261136,10180.059174553251069,916.872814707968814,1833.860404835852705,19696.193143920121656,71.000000000000000,9.638028169014083,2.857639695232168
25,67,3,Brooklyn,006700,3006700,I,BK33,Carroll Gardens-Columbia Street-Red Hook,BK,2120.389474483024060,1579.336103198084402,1338.259408870573907,4521.373966645623113,1555.650136446478882,987.403172417543374,8632.352739715122880,85.000000000000000,9.350588235294113,2.613090832228951
26,69,3,Brooklyn,006900,3006900,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK,2383.953797395463880,1323.029480519689287,65.568429640289523,3187.671745702865792,412.870779136436511,326.840125295236533,7584.072100414210581,99.000000000000000,9.826262626262629,2.657357359183232
27,74,3,Brooklyn,007400,3007400,E,BK32,Sunset Park West,BK,2062.884002464692458,5258.930719819360093,66.138077848155419,2217.999305683750208,295.425935076207679,316.737178162680550,12560.569905710639432,87.000000000000000,11.888505747126439,2.704450478823461
28,76,3,Brooklyn,007600,3007600,E,BK32,Sunset Park West,BK,1990.188285382436334,4917.671447697834992,714.061679386660671,1342.799495299245564,397.388695171086340,1337.620009638404781,11571.749503072558582,71.000000000000000,10.701408450704225,2.540050222098908
29,78,3,Brooklyn,007800,3007800,E,BK32,Sunset Park West,BK,2421.579716669343270,4779.819496188170888,151.664510710282514,929.943376114919715,655.380564516494587,921.158626259178618,10596.335410488938578,69.000000000000000,10.602898550724639,2.537018341101637
30,80,3,Brooklyn,008000,3008000,E,BK32,Sunset Park West,BK,3151.140476295763619,4866.060949227074161,335.400326466539070,1446.841916634521112,130.992267324759695,476.173315635404776,9635.982131474018388,67.000000000000000,10.076119402985077,2.938722127575635
31,98,3,Brooklyn,009800,3009800,E,BK34,Sunset Park East,BK,2950.193861631651998,3275.348939425956814,750.315017704105117,582.165132719961321,1708.684739330959019,1331.630342009035530,10142.080743688402436,66.000000000000000,11.283333333333331,2.476323784802684
32,101,3,Brooklyn,010100,3010100,I,BK32,Sunset Park West,BK,6653.704966551402322,7268.381755688300473,1917.082451541601358,5742.730579533658783,879.581959991612507,178.041540286081471,5754.083009865982604,191.000000000000000,11.182198952879579,3.850126092562488
33,102,3,Brooklyn,010200,3010200,E,BK34,Sunset Park East,BK,3517.844205851152310,3948.185596731891110,769.416102482759129,2098.612327343613288,1603.444736740784492,557.583612853548516,12130.920655278632694,74.000000000000000,11.827027027027025,3.956589693063906
34,104,3,Brooklyn,010400,3010400,E,BK34,Sunset Park East,BK,2853.659101564132925,2794.627272309782711,564.607531748173187,2940.077638539255986,1058.061434133412604,1523.776111690300695,11437.375291876132906,75.000000000000000,10.053333333333338,3.801931704368805
35,108,3,Brooklyn,010800,3010800,E,BK34,Sunset Park East,BK,1423.717741061849438,1717.358184359258985,320.808935459174506,2139.060069425353504,2639.796464944477520,478.084637454798724,9549.758192940355002,79.000000000000000,11.000000000000004,2.729046043527354
36,110,3,Brooklyn,011000,3011000,E,BK34,Sunset Park East,BK,2463.684709887344525,2755.495740253905751,811.919132602391187,3130.601024717415839,836.662093079868555,815.695569254368252,6263.889116691218078,109.000000000000000,13.700917431192659,5.264477312397585
37,114,3,Brooklyn,011400,3011400,I,BK88,Borough Park,BK,129.002398349024816,391.290831563916583,494.182375088625520,3518.109165859470068,1492.477162172087901,726.147623996153129,8721.135335606713852,106.000000000000000,12.270754716981132,4.629675849624528
38,128.01,3,Brooklyn,012801,3012801,I,BK30,Dyker Heights,BK,5141.808522851757516,3458.425815588828300,749.229020282422653,5118.380823539821904,1597.947488495616199,164.823615048189083,13706.569264321064111,120.000000000000000,16.356666666666666,7.426861686459763
39,130,3,Brooklyn,013000,3013000,E,BK31,Bay Ridge,BK,5099.676667365555659,5703.409049097209390,170.647809118298937,5416.255129577715707,1028.282365968959084,1084.958247365524130,15315.789267277481486,82.000000000000000,12.050000000000002,4.409256537090640
40,132,3,Brooklyn,013200,3013200,E,BK30,Dyker Heights,BK,6304.489215156276259,3577.262075655699391,1074.626097850334645,6260.388768015583992,2789.204160827411215,264.643726431964978,14824.556828706623492,251.000000000000000,12.248207171314739,7.890674671592308
41,133,3,Brooklyn,013300,3013300,I,BK37,Park Slope-Gowanus,BK,2739.730197558390955,4163.394154101945787,1061.151152491499033,1223.174900828545105,924.682961820425703,846.751034529126628,3164.807148413600771,78.000000000000000,9.771794871794871,2.076329018036927
42,136,3,Brooklyn,013600,3013600,I,BK31,Bay Ridge,BK,7188.226820418805801,4163.157259116416753,333.868429423407576,7351.952233195215740,1323.066402742678747,1317.917650541807234,16639.160469761001877,97.000000000000000,11.195876288659790,4.396350700812673
43,137,3,Brooklyn,013700,3013700,I,BK37,Park Slope-Gowanus,BK,1916.354595864818748,5964.847181749375522,68.646019464672108,2969.458287965041563,842.362512691960887,649.744716546075892,3168.105157843872348,81.000000000000000,12.004938271604935,4.530146278945303
44,139,3,Brooklyn,013900,3013900,E,BK37,Park Slope-Gowanus,BK,2229.371357520740730,6816.238030599672129,198.732976003481383,3967.110808871428617,1072.560988425362666,1624.258009359350808,3172.232985168958749,70.000000000000000,10.638571428571430,2.208894592530611
45,151,3,Brooklyn,015100,3015100,I,BK37,Park Slope-Gowanus,BK,1195.710976546364918,7258.487981958019191,947.065682960164622,4604.984337835697261,678.404773807344213,1610.185799594431728,1610.185799594431728,62.000000000000000,9.667741935483871,1.461839644224256
46,153,3,Brooklyn,015300,3015300,I,BK37,Park Slope-Gowanus,BK,367.693876722287598,6394.373942178201105,83.406575382000000,3778.686704286117219,682.101607625710926,1359.503280092257228,1609.102093142214926,71.000000000000000,10.473239436619719,2.813739644087251
47,155,3,Brooklyn,015500,3015500,I,BK37,Park Slope-Gowanus,BK,1003.759475315982854,5438.221964710218344,228.622910227477547,3084.826006265508113,1624.384501741382792,401.969692651829860,1610.428999969970164,80.000000000000000,12.658749999999996,4.911693454902973
48,157,3,Brooklyn,015700,3015700,I,BK37,Park Slope-Gowanus,BK,2068.681732905392437,4403.332049415340407,232.409260823855391,2621.647041123136205,1720.918759273923342,668.499414410361510,1603.792026617416695,95.000000000000000,10.789473684210526,2.891862158077627
49,170,3,Brooklyn,017000,3017000,I,BK27,Bath Beach,BK,11425.279857147743314,2791.306708707486905,1083.091984271743513,12583.607352164242911,3187.719967545083819,420.533337932195082,18839.332253570621106,108.000000000000000,9.937962962962965,4.397104348639118
50,178,3,Brooklyn,017800,3017800,E,BK27,Bath Beach,BK,12034.235674907728026,941.278287067555198,571.948553252854936,12148.301756613491307,913.293640064999977,1362.610041177372523,18620.040265631516377,113.000000000000000,10.966371681415925,3.960781186914959
51,186,3,Brooklyn,018600,3018600,I,BK28,Bensonhurst West,BK,8931.641252261166301,2500.778962791494905,1387.952701160227662,9826.026205397563899,1548.180132752082727,1759.489830645759412,15989.202775262134310,42.000000000000000,8.547619047619046,2.766016603590018
52,188,3,Brooklyn,018800,3018800,I,BK28,Bensonhurst West,BK,8166.197522914592810,2785.421210425268782,1483.902518856127926,8907.113633451694113,1261.920276000338617,827.164361512955679,15066.424923356036743,82.000000000000000,8.921951219512197,2.198373382402381
53,190,3,Brooklyn,019000,3019000,E,BK28,Bensonhurst West,BK,6812.304831891795402,1694.063152288464835,1364.145791871374286,7463.997204134267122,777.250863365206555,453.789266372554266,13627.694368278122056,112.000000000000000,10.214285714285708,3.435004154182865
54,192,3,Brooklyn,019200,3019200,E,BK88,Borough Park,BK,4096.774944102856352,1727.238355136795917,1189.989456414399001,5127.471828678067141,996.405962460405590,2133.008404825475736,11247.465385871450053,86.000000000000000,9.341860465116280,3.406100586276097
55,194,3,Brooklyn,019400,3019400,E,BK30,Dyker Heights,BK,5088.058875466926111,672.086071738156193,1564.888080852235134,6227.979361818097459,1188.200759237966395,1169.808316768649775,12365.777208432597035,125.000000000000000,9.656000000000004,4.609219372714479
56,195,3,Brooklyn,019500,3019500,E,BK69,Clinton Hill,BK,2912.048010217053161,2362.734047733563784,613.498168058410101,2274.249695662525028,1223.793155139471537,866.485081695317831,6952.572405140614137,161.000000000000000,10.959627329192552,5.842274587885137
57,196,3,Brooklyn,019600,3019600,E,BK30,Dyker Heights,BK,6108.091385714825265,658.394397332921926,345.184657088358392,7453.925980762064682,2122.035336947820724,640.981171053003322,13589.333335869176153,81.000000000000000,9.502469135802469,2.952497896216100
58,197,3,Brooklyn,019700,3019700,I,BK69,Clinton Hill,BK,3243.069952009065673,1495.835142498443702,750.588885124065882,1057.961886555754973,36.089326086630166,76.506178322827239,5735.849798928785276,181.000000000000000,13.532596685082881,5.739482012805886
59,198,3,Brooklyn,019800,3019800,E,BK30,Dyker Heights,BK,7713.188708210282130,2285.010284071704973,377.884608736553673,9002.047900232411848,2159.302357237721935,1543.989379646798170,15158.708869596262957,60.000000000000000,9.248333333333331,2.712337891221924
60,204,3,Brooklyn,020400,3020400,I,BK30,Dyker Heights,BK,7158.422667323819041,2819.633902958207273,1481.250507094596287,7800.122638090313558,3653.282691500143756,1301.060647986665572,15363.493763061755089,57.000000000000000,7.373684210526315,1.576787683391851
61,208,3,Brooklyn,020800,3020800,I,BK30,Dyker Heights,BK,5836.429650164439408,1813.969684027460062,1143.990039526018791,6788.869016751245908,2320.974213786787004,1120.708371079733297,14010.181377341326879,57.000000000000000,8.154385964912281,2.007848010703303
62,210,3,Brooklyn,021000,3021000,E,BK30,Dyker Heights,BK,5091.288831592507449,1622.787916136868716,1078.504221587693110,6206.637153043252511,1575.525152323200473,1063.822488303296268,13276.535271223792734,62.000000000000000,9.272580645161289,2.496172109111824
