X1,PROGRAM,ORG PHONE,DISTADD,DIS,DBIOSRTOZI,DAYS,HOURS
FP,"ABRAHAM HOUSE, INC",(718) 292-9321,340 WILLIS AVENUE,BX,10454,SAT,6:30-7:30AM
FP,ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY,347-350-4698,3101 EASTCHESTER ROAD,BX,10469,SAT,9-11AM
SK,ACTS COMMUNITY DEVELOPMENT CORPORATION,718-415-1170,2114 MERMAID AVE,BK,11224,"WED,FRI",6:30-7:30PM
FP,ADMIRABLE CHURCH INC,718-649-7531,1910 FLATBUSH AVENUE,BK,11210,SAT,10AM-12PM
SK,ADVENT LUTHERAN CHURCH,212-665-2504,2504 BROADWAY,NY,10025,SAT (4TH),12-1PM
FP,AFRICAN SERVICES COMMITTEE,212-222-3882,429 WEST 127TH STREET,NY,10027,MON-FRI,9AM-5PM
FP,AGAPE CHRISTIAN CENTER,917-604-4812,59-02 SUMMERFIELD ST,QN,11385,SAT,12-1PM
FP,ALL NATIONS BAPTIST CHURCH OF WOODHAVEN,718-296-2025,86-76 80TH STREET,QN,11421,SAT,10-10:30AM
FP,"ALL PEOPLE'S CHURCH APOSTOLIC FAITH, INC",(718) 782-3703,182 TOMPKINS AVE,BK,11206,SAT,10-11:30AM
FP,ALLEN OUTREACH MINISTRY FEEDING PROGRAM,(718) 526-3510,111-54 MERRICK BLVD,QN,11433,THUR,11AM-1PM
FP,AMMI EVANGELICAL BAPTIST CHURCH,(718) 282-7565,1799 FLATBUSH AVENUE,BK,11210,SAT,12:30-2PM
FP,ANOTHER CHOICE YOUTH AND FAMILY OUTREACH INC,212-369-6643,1765 MADISON AVE,NY,10029,FRI,10-11AM
SK,ANOTHER CHOICE YOUTH AND FAMILY OUTREACH INC,212-369-6643,1765 MADISON AVENUE,NY,10029,WED,12-1PM
FP,ANTIOCH OUTREACH MINISTRIES,212-534-5715,41 WEST 124TH STREET,NY,10027,SAT,7:30-11AM
FP,"ASCENSION OUTREACH, INC",(212) 254-8620,12 WEST 11TH STREET,NY,10011,"SAT(2ND,4TH)",8:30-9:30AM
FP,ASTOR CHILD GUIDANCE CENTER,(718) 231-3400,750 TILDEN STREET,BX,10467,THUR,2-2:30PM
FP,BAILEY HOUSE FOOD PANTRY,212-633-2500,1751 PARK AVENUE,NY,10035,MON/WED,10AM-12PM/1-3:30PM
FP,BAY VIEW HOUSES RESIDENT ASSOCIATION,347-216-5909,2085 ROCKAWAY PARKWAY,BK,11236,THUR,10AM-2PM
FP,BEDFORD CENTRAL PRESBYTERIAN CHURCH,718-467-0740,1200 DEAN STREET,BK,11216,"THUR(1ST,2ND)",1-2:30PM
FPK,BENSONHURST COUNCIL OF JEWISH ORGANIZATIONS,(718) 333-1834,8635 21ST AVE,BK,11214,TUE,10AM-4PM
FP,BERACA SEVENTH DAY ADVENTIST CHURCH,(718) 740-1916,91-19 191 STREET,QN,11423,WED,10-11:30AM
SK,BETH HARK CHRISTIAN COUNSELING CENTER,(212) 860-1523,1832 MADISON AVENUE,NY,10035,"WED,THUR",12-2PM
FP,BETHANIE FRENCH SEVENTH-DAY ADVENTIST CHURCH,718-600-2334,2059 BEDFORD AVENUE,BK,11226,FRI,2-4PM
SK,BETHANY BAPTIST CHURCH OF JAMAICA,(718) 659-6099,157-11 111TH AVE,QN,11433,WED,12-3PM
SK,BETHANY UNITED METHODIST CHURCH,(718) 774-5689,1208 ST. JOHN'S PLACE,BK,11213,TUE,12:30-2:30PM
FP,BETHEL AME CHURCH,(212) 862-0100,54-60 WEST 132ND STREET,NY,10037,THUR,9:30-11:30AM
FP,BETHEL AME CHURCH/BETHEL ARVERNE COMM.,(718) 474-7712,215 BEACH 77TH STREET,QN,11692,THUR,11AM-1PM
SK,BETHEL GOSPEL TABERNACLE CHURCH,718-291-4452,110-25 GUY R. BREWER BLVD.,QN,11433,"TUE,FRI/WED",12-2PM/9-10AM
FP,BETH-EL HOUSE OF YAHWEH,718-401-0743,3482 PARK AVENUE,BX,10456,SAT,8-9:30AM
SK,BETHEL SEVENTH-DAY ADVENTIST CHURCH,718-783-3630,457 GRAND AVENUE,BK,11238,SUN,1-2PM
SK,BETHESDA MISSIONARY BAPTIST CHURCH,718-297-5908,179-09 JAMAICA AVENUE,QN,11432,THUR,12-2PM
FP,BEULAH CHURCH OF GOD IN CHRIST JESUS,718-686-8500,956 MARCY AVENUE,BK,11216,"TUE,THUR",10:30AM-2PM
FP,BLANCHE MEMORIAL CHURCH,(718) 658-2458,109-74 SUTPHIN BLVD,QN,11435,TUE,9-9:30AM
FP,BLESSED ASSURANCE CHURCH OF GOD BLESSED ASSURA,3C4E7- 9C6H5A-1R7I2T5Y IN,2093 FULTON STREET,BK,11233,SAT,9-11AM
FP,BLESSED SACRAMENT CHURCH (BKLYN),(718) 827-1200,198 EUCLID AVENUE,BK,11208,WED,9:30-11:30AM
FPK,BNAI RAPHAEL CHESED ORGANIZATION INC,718-951-2302,3846 FLATLANDS AVENUE,BK,11234,"M/TUE,W/THU",10A-1P/10A-4P/10A-6PM
FPHA,BOOM! HEALTH,718-295-5960,3144 3RD AVENUE,BX,10451,MON-FRI,9AM-1PM
FP,BRIGHT TEMPLE A.M.E. CHURCH/PROJECT F.I.L.L.,718-542-7777,812 FAILE STREET,BX,10474,"FRI (1,3)",10AM-12PM
