id,name,type,BoroCode,BoroName,Shape_Leng,Shape_Area
"37 Broadway, New York, NY 10006, United States",Duane Reade Pharmacy,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
"95 Wall St, New York, NY 10005, United States",Duane Reade Pharmacy,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
"255 Greenwich St, New York, NY 10007, United States",CVS Pharmacy,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
"165 William St, New York, NY 10038, United States",Downtown Pharmacy,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
"5 Hudson St, New York, NY 10013, United States",Kings Pharmacy,"pharmacy, drugstore, health, point_of_interest, clothing_store, store, establishment",1,Manhattan,361649.881587,636600558.138
"315 North End Ave, New York, NY 10282, United States",Duane Reade Pharmacy,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
"7 Madison St, New York, NY 10038, United States",Rite Aid Pharmacy,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
"17 John St, New York, NY 10038, United States",Duane Reade Pharmacy,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
"200 Water St, New York, NY 10038, United States",Duane Reade Pharmacy,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
"305 Broadway, New York, NY 10007, United States",Duane Reade by Walgreens,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
"305 Broadway, New York, NY 10007, United States",Duane Reade Pharmacy,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
"99 Nassau St #111, New York, NY 10038, United States",Xpress Lane Pharmacy,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
"160 Broadway, New York, NY 10038, United States",vn Pharmacy,"pharmacy, health, point_of_interest, store, establishment",1,Manhattan,361649.881587,636600558.138
