"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001
"360050001000","15000US360050001000","Block Group 0","Block Group 0, Census Tract 1, Bronx County, New York","ny","150","00","ACSSF","0008593",,,,,"36","005",,,,"000100","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"360050001001","15000US360050001001","Block Group 1","Block Group 1, Census Tract 1, Bronx County, New York","ny","150","00","ACSSF","0008594",,,,,"36","005",,,,"000100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7080
"360050002000","15000US360050002000","Block Group 0","Block Group 0, Census Tract 2, Bronx County, New York","ny","150","00","ACSSF","0008595",,,,,"36","005",,,,"000200","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"360050002001","15000US360050002001","Block Group 1","Block Group 1, Census Tract 2, Bronx County, New York","ny","150","00","ACSSF","0008596",,,,,"36","005",,,,"000200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919
"360050002002","15000US360050002002","Block Group 2","Block Group 2, Census Tract 2, Bronx County, New York","ny","150","00","ACSSF","0008597",,,,,"36","005",,,,"000200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703
"360050002003","15000US360050002003","Block Group 3","Block Group 3, Census Tract 2, Bronx County, New York","ny","150","00","ACSSF","0008598",,,,,"36","005",,,,"000200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920
"360050004000","15000US360050004000","Block Group 0","Block Group 0, Census Tract 4, Bronx County, New York","ny","150","00","ACSSF","0008599",,,,,"36","005",,,,"000400","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"360050004001","15000US360050004001","Block Group 1","Block Group 1, Census Tract 4, Bronx County, New York","ny","150","00","ACSSF","0008600",,,,,"36","005",,,,"000400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468
"360050004002","15000US360050004002","Block Group 2","Block Group 2, Census Tract 4, Bronx County, New York","ny","150","00","ACSSF","0008601",,,,,"36","005",,,,"000400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090
