Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"36005000100","14000US36005000100","Census Tract 1","Census Tract 1, Bronx County, New York","ny","140","00","ACSSF","0003484",,,,,"36","005",,,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7080,1773,4239,25,125,0,850,68
"36005000200","14000US36005000200","Census Tract 2","Census Tract 2, Bronx County, New York","ny","140","00","ACSSF","0003485",,,,,"36","005",,,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4542,2165,1279,0,104,0,801,193
"36005000400","14000US36005000400","Census Tract 4","Census Tract 4, Bronx County, New York","ny","140","00","ACSSF","0003486",,,,,"36","005",,,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5634,2623,1699,30,226,0,847,209
"36005001600","14000US36005001600","Census Tract 16","Census Tract 16, Bronx County, New York","ny","140","00","ACSSF","0003487",,,,,"36","005",,,,"001600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5917,2406,2434,0,13,0,907,157
"36005001900","14000US36005001900","Census Tract 19","Census Tract 19, Bronx County, New York","ny","140","00","ACSSF","0003488",,,,,"36","005",,,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2765,585,1041,0,93,0,876,170
"36005002000","14000US36005002000","Census Tract 20","Census Tract 20, Bronx County, New York","ny","140","00","ACSSF","0003489",,,,,"36","005",,,,"002000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9409,3185,4487,182,29,0,1217,309
"36005002300","14000US36005002300","Census Tract 23","Census Tract 23, Bronx County, New York","ny","140","00","ACSSF","0003490",,,,,"36","005",,,,"002300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,479,2122,68,0,0,1845,86
"36005002400","14000US36005002400","Census Tract 24","Census Tract 24, Bronx County, New York","ny","140","00","ACSSF","0003491",,,,,"36","005",,,,"002400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,69,89,0,0,0,0,14
"36005002500","14000US36005002500","Census Tract 25","Census Tract 25, Bronx County, New York","ny","140","00","ACSSF","0003492",,,,,"36","005",,,,"002500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5887,903,1344,22,50,20,3389,159
"36005002701","14000US36005002701","Census Tract 27.01","Census Tract 27.01, Bronx County, New York","ny","140","00","ACSSF","0003493",,,,,"36","005",,,,"002701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2868,243,987,0,0,0,1603,35
"36005002702","14000US36005002702","Census Tract 27.02","Census Tract 27.02, Bronx County, New York","ny","140","00","ACSSF","0003494",,,,,"36","005",,,,"002702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4702,480,2069,82,0,0,1878,193
"36005002800","14000US36005002800","Census Tract 28","Census Tract 28, Bronx County, New York","ny","140","00","ACSSF","0003495",,,,,"36","005",,,,"002800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5269,675,3674,0,29,0,592,299
"36005003100","14000US36005003100","Census Tract 31","Census Tract 31, Bronx County, New York","ny","140","00","ACSSF","0003496",,,,,"36","005",,,,"003100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703,367,510,0,35,0,701,90
"36005003300","14000US36005003300","Census Tract 33","Census Tract 33, Bronx County, New York","ny","140","00","ACSSF","0003497",,,,,"36","005",,,,"003300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3534,457,1215,92,0,0,1655,115
"36005003500","14000US36005003500","Census Tract 35","Census Tract 35, Bronx County, New York","ny","140","00","ACSSF","0003498",,,,,"36","005",,,,"003500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,547,1425,82,0,0,1754,92
